QuestionID,AnswerType
1,Yes
1,No
4,Yes
4,No
16,Redacted
18,Yes
18,No
34,Redacted
49,Hour
49,Weekly
49,Bi-Weekly
49,Month
49,Year
50,OES
50,CBA
50,Employer Conducted
50,DBA
50,SCA
50,Other
55,Hour
55,Weekly
55,Bi-Weekly
55,Month
55,Year
62,None
62,High School
62,Associate's
62,Bachelor's
62,Master's
62,Doctorate
62,Other
65,Yes
65,No
68,Yes
68,No
70,Yes
70,No
72,Yes
72,No
73,None
73,High School
73,Associate's
73,Bachelor's
73,Master's
73,Doctorate
73,Other
76,Yes
76,No
77,Yes
77,No
81,Yes
81,No
82,Yes
82,No
84,Yes
84,No
85,Yes
85,No
86,Yes
86,No
87,Yes
87,No
88,Yes
88,No
88,N/A
90,Yes
90,No
91,Yes
91,No
92,Yes
92,No
93,Yes
93,No
99,Yes
99,No
101,Newspaper
101,Journal
113,Yes
113,No
115,Yes
115,No
115,N/A
116,Yes
116,No
116,N/A
117,Yes
117,No
118,Yes
118,No
118,N/A
119,Redacted
120,Redacted
121,Redacted
122,Redacted
123,Redacted
128,Redacted
131,Redacted
133,Redacted
134,Redacted
135,None
135,High School
135,Associate's
135,Bachelor's
135,Master's
135,Doctorate
135,Other
146,Yes
146,No
146,N/A
147,Yes
147,No
147,N/A
148,Yes
148,No
148,N/A
149,Yes
149,No
149,N/A
150,Yes
150,No
150,N/A
151,Yes
151,No
152,Yes
152,No
153,Redacted
154,Redacted
155,Redacted
156,Redacted
157,Redacted
158,Redacted
159,Redacted
160,Redacted
161,Redacted
162,Redacted
163,Redacted
164,Redacted
165,Redacted
166,Redacted
167,Yes
167,No
173,Yes
173,No
179,Yes
179,No
